Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR021124	CRISPR-associated protein, Cas5	interpro	family		PF09704	GO:0043571
IPR021125	Protein of unknown function DUF2127	interpro	family		PF09900	
IPR021127	CRISPR-associated endonuclease Cas2	interpro	family		TIGR01573,PIRSF032582,PTHR34405,MF_01471,cd09725	GO:0004521,GO:0043571
IPR021130	Phosphoribosyl-ATP pyrophosphohydrolase-like	interpro	family		PF01503	
IPR021134	Bestrophin/UPF0187	interpro	family		PF01062	
IPR021135	Phosphoenolpyruvate carboxylase	interpro	family		PF00311,PR00150,PTHR30523	GO:0008964,GO:0006099,GO:0015977
IPR021137	Ribosomal protein L35	interpro	family		PF01632,PTHR33343	GO:0003735,GO:0006412,GO:0005840
IPR021138	60S ribosomal protein L18a/ L20, eukaryotes	interpro	family		PIRSF002190	GO:0003735,GO:0006412,GO:0005840
IPR021143	Pyrimidine dimer DNA glycosylase, endonuclease V type	interpro	family		PIRSF001000	
IPR021144	Uncharacterised protein family UPF0597	interpro	family		PIRSF006054,MF_01845,PTHR30501	
IPR021145	Portal protein	interpro	family		PF05133	
IPR021146	Phage gp6-like head-tail connector protein	interpro	family		PF05135	
IPR021147	Protein of unknown function DUF697	interpro	family		PF05128	
IPR021149	Oligosaccharyl transferase complex, subunit OST3/OST6	interpro	family		PTHR12692,PF04756	
IPR021150	Ubiquinol-cytochrome c chaperone/UPF0174	interpro	family		PF03981	
IPR021152	Herpesvirus UL31	interpro	family		PF02718,MF_04023	GO:0046765,GO:0046802
IPR021155	Poxvirus E2/O1	interpro	family		PF04497	
IPR021156	Transcription elongation factor A-like/Brain expressed X-linked	interpro	family		PF04538	
IPR021160	Mitogen-activated protein (MAP) kinase kinase kinase kinase	interpro	family		PIRSF038172	GO:0005524,GO:0008349
IPR021162	Histone H3-K79 methyltransferase, fungi	interpro	family		PIRSF017570	GO:0018024,GO:0031493,GO:0000077,GO:0006281,GO:0006348,GO:0034729,GO:0005634
IPR021163	Ferredoxin-NADP+ reductase, adrenodoxin-type	interpro	family		PIRSF000362	GO:0016491,GO:0055114
IPR021165	Saposin, chordata	interpro	family		PIRSF002431	GO:0006665,GO:0005764
IPR021167	Uncharacterised conserved protein, UCP027887, phosphatidlglycerophosphatase-related	interpro	family		PIRSF027887	
IPR021168	Bifunctional polymyxin resistance protein, ArnA	interpro	family		PIRSF036506,MF_01166	GO:0016742,GO:0055114
IPR021169	Histone H3-K79 methyltransferase, metazoa	interpro	family		PIRSF037123	GO:0018024,GO:0006342,GO:0034729,GO:0005634
IPR021170	DnaJ homologue subfamily C member 10	interpro	family		PIRSF037293	GO:0015036,GO:0034975,GO:0005783
IPR021171	Core histone macro-H2A	interpro	family		PIRSF037942	GO:0003677,GO:0006334,GO:0000786
IPR021172	Uncharacterised conserved protein, RNA methylase-related	interpro	family		PIRSF006607	
IPR021173	Bifunctional dolichyl pyrophosphate glc1man9glcnac2 alpha-1,3-glucosyltransferase/endonuclease V	interpro	family		PIRSF037345	
IPR021174	Uncharacterised conserved protein UCP037139	interpro	family		PIRSF037139	
IPR021175	Bifunctional inorganic polyphosphate/ATP-NAD kinase, predicted	interpro	family		PIRSF036641	GO:0006553
IPR021176	Competence-induced protein CoiA	interpro	family		PIRSF007487	
IPR021177	Serum albumin/Alpha-fetoprotein/Afamin	interpro	family		PR00803,PIRSF002520	GO:0005615
IPR021179	Mercury(II) reductase	interpro	family		TIGR02053	GO:0016152,GO:0016491,GO:0045340,GO:0050660,GO:0050661,GO:0050787,GO:0055114
IPR021180	Protein lysine methyltranseferase, predicted	interpro	family		PIRSF029047	
IPR021181	Mitochondrial Rho GTPase	interpro	family		PIRSF037488	GO:0003924,GO:0005509,GO:0005525,GO:0007005,GO:0031307
IPR021182	Upstream of FLC	interpro	family		PIRSF031043	
IPR021183	N-terminal acetyltransferase A, auxiliary subunit	interpro	family		PIRSF000422,PF12569	
IPR021185	Tumour necrosis factor family protein, CD30 ligand type	interpro	family		PIRSF019548	
IPR021187	Band 4.1 protein, chordates	interpro	family		PTHR23280:SF12	
IPR021188	N6 adenine-specific DNA methyltransferase, TaqI class	interpro	family		PIRSF037236	
IPR021190	Peptidase M10A	interpro	family		PR00138,PIRSF001191	GO:0004222,GO:0008270,GO:0006508
IPR021191	Restriction endonuclease, type II, DpmII	interpro	family		PIRSF016080	GO:0003677,GO:0009036,GO:0009307
IPR021192	Uncharacterised conserved protein UCP031578, VanZ/RDD-type	interpro	family		PIRSF031578	
IPR021193	BPI fold-containing family B member 1	interpro	family		PIRSF037186,PTHR47395	GO:0005615
IPR021194	Uncharacterised protein family, dehydrogenase DR0790 type, predicted	interpro	family		PIRSF026478	
IPR021195	Ubiquinol cytochrome c reductase, cytochrome c1 subunit, predicted	interpro	family		PIRSF019225	
IPR021198	Pyridoxamine 5'-phosphate oxidase, plant	interpro	family		PIRSF037048	GO:0004733,GO:0052856,GO:0052857,GO:0008615
IPR021200	Conserved hypothetical integral membrane protein	interpro	family		TIGR03766	
IPR021202	Apoptosis inhibitor Rv3654c-like	interpro	family		TIGR03816	
IPR021203	Muellerian-inhibiting factor	interpro	family		PIRSF037270,PTHR15009	
IPR021204	Integrating conjugative element protein, PFL4711	interpro	family		TIGR03755	
IPR021205	Lantibiotic ABC transporter permease subunit, SpaE/MutE	interpro	family		TIGR03732	
IPR021207	Integrating conjugative element protein, PFL4705	interpro	family		TIGR03752	
IPR021211	Sorting assembly machinery 35kDa subunit	interpro	family		PF10806	
IPR021213	Protein of unknown function DUF2567	interpro	family		PF10821	
IPR021214	Protein of unknown function DUF2568	interpro	family		PF10823	
IPR021215	Protein of unknown function DUF2752	interpro	family		PF10825	
IPR021216	Protein of unknown function DUF2722	interpro	family		PF10846	
IPR021217	Spiroplasma phage 1-C74, Orf10	interpro	family		PF10854	
IPR021218	Protein of unknown function DUF2784	interpro	family		PF10861	
IPR021219	Protein of unknown function DUF2703	interpro	family		PF10865	
IPR021220	Protein of unknown function DUF2686	interpro	family		PF10887	
IPR021221	Bacteriophage 186, Fil	interpro	family		PF10893	
IPR021222	Protein of unknown function DUF2714	interpro	family		PF10896	
IPR021223	Abortive phage resistance protein AbiGi	interpro	family		PF10899	
IPR021224	Protein of unknown function DUF2690	interpro	family		PF10901	
IPR021225	Protein of unknown function DUF2778	interpro	family		PF10908	
IPR021226	Protein of unknown function DUF2744	interpro	family		PF10910	
IPR021228	Protein of unknown function DUF2791	interpro	family		PF10923	
IPR021229	Protein of unknown function DUF2800	interpro	family		PF10926	
IPR021230	Protein of unknown function DUF2810	interpro	family		PF10928	
IPR021231	Protein of unknown function DUF2811	interpro	family		PF10929	
IPR021232	Protein of unknown function DUF2735	interpro	family		PF10931	
IPR021233	Protein of unknown function DUF2783	interpro	family		PF10932	
IPR021234	Protein of unknown function DUF2827	interpro	family		PF10933	
IPR021235	Protein of unknown function DUF2637	interpro	family		PF10935	
IPR021236	Uncharacterised protein family YfdX	interpro	family		PF10938	
IPR021237	Protein of unknown function DUF2618	interpro	family		PF10940	
IPR021238	Protein of unknown function DUF2620	interpro	family		PF10941	
IPR021239	Protein of unknown function DUF2625	interpro	family		PF10946	
IPR021240	Protein of unknown function DUF2776	interpro	family		PF10951	
IPR021241	Peptidoglycan-binding protein, CsiV	interpro	family		PF10972	
IPR021242	Protein of unknown function DUF2799	interpro	family		PF10973	
IPR021243	Protein of unknown function DUF2804	interpro	family		PF10974,PTHR35868	
IPR021244	Protein of unknown function DUF2802	interpro	family		PF10975	
IPR021245	Protein of unknown function DUF2790	interpro	family		PF10976	
IPR021246	Protein of unknown function DUF2797	interpro	family		PF10977	
IPR021247	Protein of unknown function DUF2785	interpro	family		PF10978	
IPR021248	Protein of unknown function DUF2787	interpro	family		PF10980,PTHR38978	
IPR021249	Protein of unknown function DUF2788	interpro	family		PF10981	
IPR021250	Protein of unknown function DUF2789	interpro	family		PF10982	
IPR021251	Protein of unknown function DUF2793	interpro	family		PF10983	
IPR021252	Protein of unknown function DUF2794	interpro	family		PF10984	
IPR021253	Protein of unknown function DUF2796	interpro	family		PF10986	
IPR021254	Protein of unknown function DUF2806	interpro	family		PF10987,TIGR03899	
IPR021256	Protein of unknown function DUF2808	interpro	family		PF10989	
IPR021257	Protein of unknown function DUF2809	interpro	family		PF10990	
IPR021258	Protein of unknown function DUF2816	interpro	family		PF10992	
IPR021259	Protein of unknown function DUF2817	interpro	family		PF10994	
IPR021260	Lipid II flippase Amj	interpro	family		MF_02077,PF10997	
IPR021261	Glycerophosphocholine acyltransferase 1	interpro	family		PF10998,PTHR31201	
IPR021262	Protein of unknown function DUF2839	interpro	family		PF10999	
IPR021263	Protein of unknown function DUF2840	interpro	family		PF11000	
IPR021264	Protein of unknown function DUF2841	interpro	family		PF11001,PTHR36102	
IPR021265	Protein of unknown function DUF2842	interpro	family		PF11003	
IPR021266	Kdo hydroxylase	interpro	family		PF11004	
IPR021267	Protein of unknown function DUF2844	interpro	family		PF11005	
IPR021268	Protein of unknown function DUF2845	interpro	family		PF11006	
IPR021269	Protein of unknown function DUF2848	interpro	family		PF11010	
IPR021270	Protein of unknown function DUF2849	interpro	family		PF11011	
IPR021271	Protein of unknown function DUF2850	interpro	family		PF11012	
IPR021272	Protein of unknown function DUF2851	interpro	family		PF11013	
IPR021273	Protein of unknown function DUF2852	interpro	family		PF11014	
IPR021274	Protein of unknown function DUF2853	interpro	family		PF11015	
IPR021275	Protein of unknown function DUF2854	interpro	family		PF11016,PTHR35551	
IPR021276	Protein of unknown function DUF2855	interpro	family		PF11017	
IPR021277	Protein of unknown function DUF2610	interpro	family		PF11020	
IPR021278	ATP synthase subunit K	interpro	family		PF11022,PTHR28074	
IPR021279	Protein of unknown function DUF2721	interpro	family		PF11026	
IPR021280	Protein of unknown function DUF2723	interpro	family		PF11028	
IPR021281	Small nuclear RNA activating complex subunit 2-like	interpro	family		PF11035,PTHR15132	
IPR021283	Protein of unknown function DUF2612	interpro	family		PF11041	
IPR021284	Protein of unknown function DUF2750	interpro	family		PF11042	
IPR021285	Transcription regulator, HycA	interpro	family		PF11046	
IPR021286	Baculovirus, protein E26	interpro	family		PF11050	
IPR021288	Sporulated oocyst TA4 antigen	interpro	family		PF11054	
IPR021289	Recombination, repair and ssDNA binding protein UvsY	interpro	family		PF11056	
IPR021290	Protein of unknown function DUF2861	interpro	family		PF11060	
IPR021291	Protein of unknown function DUF2862	interpro	family		PF11061	
IPR021292	Protein of unknown function DUF2863	interpro	family		PF11062	
IPR021293	Protein of unknown function DUF2865	interpro	family		PF11064	
IPR021294	Protein of unknown function DUF2866	interpro	family		PF11065	
IPR021295	Protein of unknown function DUF2867	interpro	family		PF11066	
IPR021296	Protein of unknown function DUF2868	interpro	family		PF11067	
IPR021297	YlqD protein	interpro	family		PF11068	
IPR021298	Cilia- and flagella-associated protein 298	interpro	family		PTHR13238,PF11069	GO:0003352
IPR021299	Protein of unknown function DUF2871	interpro	family		PF11070	
IPR021300	Integrating conjugative element protein, PFL4695	interpro	family		PF11072,TIGR03765	
IPR021302	Protein of unknown function DUF2780, VcgC/VcgE	interpro	family		PF11075	
IPR021303	Uncharacterised protein family, inner membrane, YbhQ	interpro	family		PF11076	
IPR021304	Adenovirus L4-33K/L4-22K	interpro	family		PF11081	GO:0019073
IPR021305	Protein of unknown function DUF2880	interpro	family		PF11082	
IPR021306	Protein of unknown function DUF2878	interpro	family		PF11086	
IPR021307	Protein of unknown function DUF2884	interpro	family		PF11101	
IPR021308	Group 4 capsule polysaccharide formation lipoprotein GfcB	interpro	family		PF11102	
IPR021309	Protein of unknown function DUF2892	interpro	family		PF11127	
IPR021310	Plant viral coat protein nucleocapsid	interpro	family		PF11128	
IPR021311	Rev protein of equine infectious anaemia virus	interpro	family		PF11129	
IPR021312	Protein of unknown function DUF2889	interpro	family		PF11136	
IPR021313	Protein of unknown function DUF2909	interpro	family		PF11137	
IPR021314	Protein of unknown function DUF2911	interpro	family		PF11138	
IPR021315	Glycolipid exporter Gap/Sap	interpro	family		PF11139	
IPR021316	Protein of unknown function DUF2913	interpro	family		PF11140	
IPR021317	Protein of unknown function DUF2917	interpro	family		PF11142	
IPR021318	Protein of unknown function DUF2919	interpro	family		PF11143	
IPR021319	Protein of unknown function DUF2921	interpro	family		PF11145,PTHR33389	
IPR021320	Protein of unknown function DUF2905	interpro	family		PF11146,PTHR36443	
IPR021321	Protein of unknown function DUF2922	interpro	family		PF11148	
IPR021322	Protein of unknown function DUF2924	interpro	family		PF11149	
IPR021323	Protein of unknown function DUF2927	interpro	family		PF11150	
IPR021324	Protein of unknown function DUF2929	interpro	family		PF11151	
IPR021325	Cofactor assembly of complex C subunit B, CCB2/CCB4	interpro	family		PF11152	
IPR021326	Protein of unknown function DUF2931	interpro	family		PF11153	
IPR021327	Protein of unknown function DUF2934	interpro	family		PF11154	
IPR021328	Protein of unknown function DUF2935	interpro	family		PF11155	
IPR021329	Protein of unknown function DUF2938	interpro	family		PF11158	
IPR021330	Protein of unknown function DUF2939	interpro	family		PF11159	
IPR021332	Protein of unknown function DUF2944	interpro	family		PF11161	
IPR021333	Protein of unknown function DUF2946	interpro	family		PF11162	
IPR021334	Protein of unknown function DUF2947	interpro	family		PF11163	
IPR021335	Protein of unknown function DUF2948	interpro	family		PF11164	
IPR021336	Protein of unknown function DUF2949	interpro	family		PF11165	
IPR021337	Protein of unknown function DUF2951	interpro	family		PF11166	
IPR021338	Protein of unknown function DUF2953	interpro	family		PF11167	
IPR021339	Protein of unknown function DUF2956	interpro	family		PF11169	
IPR021340	Protein of unknown function DUF2957	interpro	family		PF11170	
IPR021341	Protein of unknown function DUF2958	interpro	family		PF11171	
IPR021342	Protein of unknown function DUF2959	interpro	family		PF11172	
IPR021343	Protein of unknown function DUF2960	interpro	family		PF11173	
IPR021344	Protein of unknown function DUF2970	interpro	family		PF11174	
IPR021345	Protein of unknown function DUF2961	interpro	family		PF11175	
IPR021346	Translation machinery-associated protein 16	interpro	family		PF11176,PTHR13349	
IPR021347	Protein of unknown function DUF2964	interpro	family		PF11177	
IPR021349	Protein of unknown function DUF2967	interpro	family		PF11179	
IPR021350	Protein of unknown function DUF2968	interpro	family		PF11180	
IPR021351	Protein of unknown function DUF2969	interpro	family		PF11184	
IPR021352	Protein of unknown function DUF2971	interpro	family		PF11185	
IPR021353	Protein of unknown function DUF2972	interpro	family		PF11186	
IPR021354	Protein of unknown function DUF2975	interpro	family		PF11188	
IPR021355	Bacteriophage Syn9, Gp224	interpro	family		PF11189	
IPR021356	Integrating conjugative element protein PFL4702	interpro	family		PF11190,TIGR03745	
IPR021357	Protein of unknown function DUF2782	interpro	family		PF11191	
IPR021358	Protein of unknown function DUF2977	interpro	family		PF11192	
IPR021359	Protein of unknown function DUF2812	interpro	family		PF11193	
IPR021361	Protein of unknown function DUF2829	interpro	family		PF11195	
IPR021362	Protein of unknown function DUF2834	interpro	family		PF11196	
IPR021363	Protein of unknown function DUF2835	interpro	family		PF11197	
IPR021364	Protein of unknown function DUF2857	interpro	family		PF11198	
IPR021365	Protein of unknown function DUF2891	interpro	family		PF11199	
IPR021366	Protein of unknown function DUF2981	interpro	family		PF11200	
IPR021367	Protein of unknown function DUF2982	interpro	family		PF11201	
IPR021368	Type VII secretion system protein EccE	interpro	family		PF11203,TIGR03923	
IPR021369	Protein of unknown function DUF2985	interpro	family		PF11204	
IPR021370	Protein of unknown function DUF2987	interpro	family		PF11205	
IPR021372	Protein of unknown function DUF2989	interpro	family		PF11207	
IPR021373	Protein of unknown function DUF2993	interpro	family		PF11209	
IPR021374	Protein of unknown function DUF2996	interpro	family		PTHR36341,PF11210	
IPR021375	Protein of unknown function DUF2997	interpro	family		PF11211	
IPR021376	Protein of unknown function DUF2999	interpro	family		PF11212	
IPR021377	Protein of unknown function DUF3006	interpro	family		PF11213	
IPR021378	Protein of unknown function DUF3010	interpro	family		PF11215	
IPR021379	Protein of unknown function DUF3012	interpro	family		PF11216	
IPR021380	Protein of unknown function DUF3013	interpro	family		PF11217	
IPR021381	Protein of unknown function DUF3011	interpro	family		PF11218	
IPR021382	Protein of unknown function DUF3014	interpro	family		PF11219	
IPR021383	Protein of unknown function DUF3015	interpro	family		PF11220	
IPR021384	Mediator complex, subunit Med21	interpro	family		PTHR13381,PF11221	
IPR021385	Protein of unknown function DUF3017	interpro	family		PF11222	
IPR021387	Protein of unknown function DUF3023	interpro	family		PF11224	
IPR021388	Bacteriophage 933W, L0084	interpro	family		PF11225	
IPR021389	Protein of unknown function DUF3022	interpro	family		PF11226	
IPR021390	Protein of unknown function DUF3025	interpro	family		PF11227	
IPR021391	Protein of unknown function DUF3027	interpro	family		PF11228	
IPR021392	Focadhesin	interpro	family		PF11229	
IPR021393	Protein of unknown function DUF3034	interpro	family		PF11231	
IPR021395	Protein of unknown function DUF3035	interpro	family		PF11233	
IPR021398	Protein of unknown function DUF3037	interpro	family		PF11236	
IPR021399	Protein of unknown function DUF3038	interpro	family		PF11237	
IPR021400	Protein of unknown function DUF3039	interpro	family		PF11238	
IPR021401	Protein of unknown function DUF3040	interpro	family		PF11239	
IPR021402	Protein of unknown function DUF3042	interpro	family		PF11240	
IPR021403	Protein of unknown function DUF3043	interpro	family		PF11241	
IPR021404	Bacteriophage T4, Gp24.3	interpro	family		PF11242	
IPR021405	Bacteriophage T4, Gp30.1	interpro	family		PF11243	
IPR021407	Protein of unknown function DUF2544	interpro	family		PF11245	
IPR021408	Protein of unknown function DUF3046	interpro	family		PF11248	
IPR021409	Protein of unknown function DUF3047	interpro	family		PF11249	
IPR021410	The fantastic four family	interpro	family		PF11250	
IPR021411	Sugarcane yellow leaf virus (SCYLV), Orf0	interpro	family		PF11252	
IPR021412	Protein of unknown function DUF3052	interpro	family		PF11253	
IPR021413	Protein of unknown function DUF3053	interpro	family		PF11254	
IPR021414	Protein of unknown function DUF3054	interpro	family		PF11255	
IPR021415	Protein of unknown function DUF3055	interpro	family		PF11256	
IPR021417	Protein of unknown function DUF3060	interpro	family		PF11259	
IPR021419	Mediator complex, subunit Med25, von Willebrand factor type A	interpro	family		PF11265	
IPR021420	Protein of unknown function DUF3067	interpro	family		PTHR35126,PF11267	
IPR021421	Protein of unknown function DUF3071	interpro	family		PF11268	
IPR021422	Protein of unknown function DUF3069	interpro	family		PF11269	
IPR021423	Protein of unknown function DUF3070	interpro	family		PF11270	
IPR021424	Porin PorA	interpro	family		PF11271	
IPR021425	Protein of unknown function DUF3072	interpro	family		PF11272	
IPR021426	Protein of unknown function DUF3073	interpro	family		PF11273	
IPR021427	Protein of unknown function DUF3077	interpro	family		PF11275	
IPR021428	Protein of unknown function DUF3078	interpro	family		PF11276	
IPR021429	Mediator complex, subunit Med24,	interpro	family		PTHR12898,PF11277	GO:0016592
IPR021430	Protein of unknown function DUF3079	interpro	family		PF11278	
IPR021431	Protein of unknown function DUF3080	interpro	family		PF11279	
IPR021432	Protein of unknown function DUF3081	interpro	family		PF11280	
IPR021433	Protein of unknown function DUF3083	interpro	family		PF11281	
IPR021434	Protein of unknown function DUF3082	interpro	family		PF11282	
IPR021435	Protein of unknown function DUF3084	interpro	family		PF11283	
IPR021436	Protein of unknown function DUF3085	interpro	family		PF11284	
IPR021437	Protein of unknown function DUF3086	interpro	family		PF11285	
IPR021438	Protein of unknown function DUF3087	interpro	family		PF11286	
IPR021439	Protein of unknown function DUF3088	interpro	family		PF11287	
IPR021440	Protein of unknown function DUF3089	interpro	family		PF11288	
IPR021441	Protein of unknown function DUF3090	interpro	family		PF11290,TIGR03847	
IPR021442	Protein of unknown function DUF3091	interpro	family		PF11291	
IPR021443	Protein of unknown function DUF3093	interpro	family		PF11292	
IPR021444	Protein of unknown function DUF3094	interpro	family		PF11293	
IPR021445	Protein of unknown function DUF3095	interpro	family		PF11294	
IPR021446	Protein of unknown function DUF3096	interpro	family		PF11295	
IPR021447	Protein of unknown function DUF3097	interpro	family		PF11296	
IPR021448	Protein of unknown function DUF3098	interpro	family		PF11297	
IPR021449	Protein of unknown function DUF3099	interpro	family		PF11298	
IPR021450	Protein of unknown function DUF3100	interpro	family		PF11299	
IPR021451	Protein of unknown function DUF3102	interpro	family		PF11300	
IPR021452	Protein of unknown function DUF3103	interpro	family		PF11301	
IPR021453	Protein of unknown function DUF3104	interpro	family		PF11302	
IPR021454	Protein of unknown function DUF3105	interpro	family		PF11303	
IPR021455	Protein of unknown function DUF3106	interpro	family		PF11304	
IPR021456	Protein of unknown function DUF3107	interpro	family		PF11305	
IPR021457	Protein of unknown function DUF3108	interpro	family		PF11306	
IPR021458	Protein of unknown function DUF3109	interpro	family		PF11307	
IPR021459	Glycosyl hydrolases related to GH101 family, GHL1-GHL3	interpro	family		PF11308	
IPR021460	Protein of unknown function DUF3112	interpro	family		PF11309	
IPR021461	Protein of unknown function DUF3113	interpro	family		PF11310	
IPR021462	Protein of unknown function DUF3114	interpro	family		PF11311	
IPR021463	Putative SAM-dependent methyltransferase	interpro	family		PF11312	
IPR021464	Protein of unknown function DUF3116	interpro	family		PF11313	
IPR021465	Protein of unknown function DUF3117	interpro	family		PF11314	
IPR021466	Putative rhamnosyl transferase	interpro	family		PF11316	
IPR021467	Protein of unknown function DUF3119	interpro	family		PF11317,PTHR35550	
IPR021468	Protein of unknown function DUF3120	interpro	family		PF11318	
IPR021469	Protein of unknown function DUF3122	interpro	family		PF11320	
IPR021470	Protein of unknown function DUF3123	interpro	family		PF11321	
IPR021471	Protein of unknown function DUF3124	interpro	family		PF11322	
IPR021473	Protein of unknown function DUF3126	interpro	family		PF11324	
IPR021474	Protein of unknown function DUF3127	interpro	family		PF11325	
IPR021475	Protein of unknown function DUF3128	interpro	family		PTHR28052,PF11326	
IPR021476	Egh16-like virulence factor	interpro	family		PF11327,PTHR34618	
IPR021477	Type VII secretion effector, SACOL2603 family	interpro	family		TIGR04197,PF11328	
IPR021478	Protein of unknown function DUF3131	interpro	family		PF11329	
IPR021481	Protein of unknown function DUF3134	interpro	family		PF11332	
IPR021482	Protein of unknown function DUF3135	interpro	family		PF11333	
IPR021483	Protein of unknown function DUF3136	interpro	family		PF11334	
IPR021484	Protein of unknown function DUF3137	interpro	family		PF11335	
IPR021485	Protein of unknown function DUF3138	interpro	family		PF11336	
IPR021486	Protein of unknown function DUF3139	interpro	family		PF11337	
IPR021487	Protein of unknown function DUF3140	interpro	family		PF11338,PTHR40630	
IPR021488	Protein of unknown function DUF3142	interpro	family		PF11340	
IPR021489	Protein of unknown function DUF3143	interpro	family		PF11341,PTHR35765	
IPR021490	Protein of unknown function DUF3144	interpro	family		PF11342	
IPR021491	Protein of unknown function DUF3145	interpro	family		PF11343	
IPR021492	Protein of unknown function DUF3146	interpro	family		PF11344	
IPR021493	Protein of unknown function DUF3147	interpro	family		PF11345	
IPR021494	Protein of unknown function DUF3149	interpro	family		PF11346	
IPR021495	Protein of unknown function DUF3148	interpro	family		PF11347,PTHR36799	
IPR021496	Protein of unknown function DUF3150	interpro	family		PF11348	
IPR021497	Holin of 3TMs, for gene-transfer release	interpro	family		PF11351	
IPR021498	Protein of unknown function DUF3155	interpro	family		PF11352	
IPR021499	Protein of unknown function DUF3153	interpro	family		PF11353	
IPR021500	Protein of unknown function DUF3156	interpro	family		PF11354	
IPR021501	Protein of unknown function DUF3157	interpro	family		PF11355	
IPR021502	Protein of unknown function DUF3158	interpro	family		PF11358	
IPR021503	Protein of unknown function DUF3110	interpro	family		PF11360	
IPR021505	Bacteriophage B3, Orf6	interpro	family		PF11363	
IPR021506	Protein of unknown function DUF3165	interpro	family		PF11364	
IPR021508	Tail completion protein	interpro	family		PF11367	
IPR021509	Protein of unknown function DUF3169	interpro	family		PF11368	
IPR021511	Protein of unknown function DUF3172	interpro	family		PF11371	
IPR021512	Protein of unknown function DUF3173	interpro	family		PF11372	
IPR021513	Ralstonia phage RSL1, Orf186	interpro	family		PF11373	
IPR021514	Protein of unknown function DUF3176	interpro	family		PF11374	
IPR021515	Protein of unknown function DUF3177	interpro	family		PF11375	
IPR021516	Protein of unknown function DUF3179	interpro	family		PF11376	
IPR021517	Protein of unknown function DUF3180	interpro	family		PF11377	
IPR021518	Protein of unknown function DUF3181	interpro	family		PF11378	
IPR021519	Protein of unknown function DUF3182	interpro	family		PF11379	
IPR021521	Protein of unknown function DUF3185	interpro	family		PF11381	
IPR021522	Copper transporter MctB	interpro	family		PF11382	GO:0055070,GO:0016020
IPR021523	Protein of unknown function DUF3187	interpro	family		PF11383	
IPR021524	Protein of unknown function DUF3188	interpro	family		PF11384	
IPR021525	Protein of unknown function DUF3189	interpro	family		PF11385	
IPR021526	Vitelline envelope, lysin receptor	interpro	family		PF11386	
IPR021527	Protein of unknown function DUF2795	interpro	family		PF11387	
IPR021528	Phagosome trafficking protein DotA	interpro	family		PF11388	
IPR021529	Protein of unknown function DUF2798	interpro	family		PF11391	
IPR021530	Protein of unknown function DUF2877	interpro	family		PF11392	
IPR021531	Protein of unknown function DUF2875	interpro	family		PF11394	
IPR021532	Non-structural protein 7b, SARS-like	interpro	family		PF11395	
IPR021534	Protein of unknown function DUF3192	interpro	family		PF11399	
IPR021535	Tetrabrachion	interpro	family		PF11401	
IPR021537	Hypoxia-inducible factor, alpha subunit	interpro	family		PF11413	
IPR021539	Bacteriocin subtilosin A	interpro	family		PF11420	
IPR021540	Protein of unknown function DUF3195	interpro	family		PF11424	
IPR021542	Tn7 transposition regulator TnsC	interpro	family		PF11426	
IPR021543	Programmed cell death activator EGL-1	interpro	family		PF11430	
IPR021544	Vanadium-binding protein 2	interpro	family		PF11437	
IPR021545	Type III secretion system filament chaperone CesA	interpro	family		PF11439	
IPR021546	Pilot protein MxiM	interpro	family		PF11441	
IPR021547	Protein of unknown function DUF2826	interpro	family		PF11442	
IPR021548	Protein of unknown function DUF2895	interpro	family		PF11444,TIGR03746	
IPR021549	Protein of unknown function DUF2894	interpro	family		PF11445	
IPR021550	Protein of unknown function DUF2897	interpro	family		PF11446	
IPR021551	Protein of unknown function DUF3005	interpro	family		PF11448	
IPR021552	Putative, 10TM heavy-metal exporter	interpro	family		PF11449	
IPR021553	Protein of unknwon function DUF3008	interpro	family		PF11450	
IPR021555	Protein of unknown function DUF3000	interpro	family		PF11452	
IPR021556	Protein of unknown function DUF2950	interpro	family		PF11453	
IPR021557	Protein of unknown function DUF3016	interpro	family		PF11454	
IPR021558	Antitoxin MazE-like	interpro	family		PF11455	
IPR021559	Protein of unknown function DUF3019	interpro	family		PF11456	
IPR021560	Protein of unknown function DUF3021	interpro	family		PF11457	
IPR021561	Transcriptional regulator, AbiEi 3 antitoxin, Type IV TA system	interpro	family		PF11459	
IPR021562	Protein of unknown function DUF3007	interpro	family		PF11460,PTHR35734	
IPR021564	Protein of unknown function DUF3203	interpro	family		PF11462	
IPR021566	Prion-like protein Doppel	interpro	family		PF11466	
IPR021568	Ribonuclease III,  archaeal	interpro	family		PF11469	
IPR021571	Protein of unknown function DUF3206	interpro	family		PF11472	
IPR021573	Leader peptide, picornavirus	interpro	family		PF11475	
IPR021574	Sialyltransferase PMO188	interpro	family		PF11477	
IPR021576	Protein of unknown function DUF3208	interpro	family		PF11482	
IPR021577	Protein of unknown function DUF3209	interpro	family		PF11483	
IPR021578	Protein of unknown function DUF3211	interpro	family		PF11485	
IPR021579	Protein of unknown function DUF3212	interpro	family		PF11486	
IPR021580	Restriction endonuclease, type II SfiI	interpro	family		PF11487	
IPR021582	Altered inheritance of mitochondria protein 21	interpro	family		PF11489	
IPR021583	Protein of unknown function DUF3213	interpro	family		PF11491	
IPR021584	Thylakoid soluble phosphoprotein TSP9	interpro	family		PF11493,PTHR36370	
IPR021585	Ta0938	interpro	family		PF11494	
IPR021587	Transcription activator LAG-3	interpro	family		PF11498	
